title,glass,garnish,recipe,ingredients,raw_ingredients
Anita's Attitude Adjuster,Sling glass,Lemon slice & cherry on stick (sail),SHAKE first seven ingredients with ice and strain into ice-filled glass. TOP with champagne and gently stir.,"[['1.5 cl', 'De Kuyper Triple Sec (40%)'], ['1.5 cl', 'Patrón Reposado tequila'], ['1.5 cl', 'Bacardi Carta Blanca light rum'], ['1.5 cl', 'Rutte Dry Gin'], ['1.5 cl', 'Ketel One Vodka'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['Top up with', 'Brut Champagne']]","[['1.5 cl', 'triple sec'], ['1.5 cl', 'tequila'], ['1.5 cl', 'white rum'], ['1.5 cl', 'gin'], ['1.5 cl', 'vodka'], ['1.5 cl', 'lime juice'], ['1.5 cl', 'sugar syrup'], ['Top up with', 'brut champagne']]"
Apache,Shot glass,None,Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the following order.,"[['2.25 cl', 'Coffee liqueur'], ['1.5 cl', 'Green melon liqueur'], ['1.5 cl', 'Irish cream liqueur']]","[['2.25 cl', 'coffee liqueur'], ['1.5 cl', 'green melon liqueur'], ['1.5 cl', 'irish cream']]"
Aphrodisiac,Collins glass,Apple slice,"MUDDLE ginger in base of shaker. Add other ingredients, SHAKE with ice and fine strain into ice-filled glass.","[['2 slice', 'Root ginger (thumbnail-sized slice)'], ['6 cl', 'Absolut Vanilia vodka'], ['1.5 cl', 'Green Chartreuse liqueur'], ['7.5 cl', 'Apple juice'], ['4.5 cl', 'Sauvignon blanc wine']]","[['2 slice', 'gin'], ['6 cl', 'vodka'], ['1.5 cl', 'green chartreuse liqueur'], ['7.5 cl', 'apple juice'], ['4.5 cl', 'sauvignon blanc wine']]"
Apple & Blackberry Pie,Martini glass,Dust with cinnamon powder & blackberry,"MUDDLE blackberries in base of shaker. Add vodka and apple juice, SHAKE all ingredients with ice and fine strain into chilled glass. FLOAT cream on the surface of the drink by pouring over the back of a spoon and swirl to form a thin layer. Depending on the sweetness of your blackberries, you may need to add a touch of sugar syrup.","[['7 fresh', 'Blackberries'], ['6 cl', 'Ketel One Vodka'], ['3 cl', 'Apple juice'], ['Float', 'Single cream / half-and-half']]","[['7 fresh', 'blackberries'], ['6 cl', 'vodka'], ['3 cl', 'apple juice'], ['Float', 'single cream / half-and-half']]"
Apple & Cranberry Pie,Martini glass,Dust with cinnamon powder,SHAKE first 3 ingredients with ice and fine strain into chilled glass. FLOAT cream on surface of drink by pouring over back of spoon and swirl to form a thin layer.,"[['4.5 cl', 'Ketel One Vodka'], ['2.25 cl', 'Apple Schnapps liqueur'], ['3 cl', 'Cranberry juice (sweetened)'], ['Float', 'Single cream / half-and-half']]","[['4.5 cl', 'vodka'], ['2.25 cl', 'schnapps'], ['3 cl', 'cranberry juice'], ['Float', 'single cream / half-and-half']]"
Apple & Custard Cocktail,Martini glass,Apple wedge,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Warninks Advocaat liqueur'], ['4.5 cl', 'Avallen Calvados'], ['1.5 cl', 'Apple Schnapps liqueur'], ['0.75 cl', 'Vanilla sugar syrup']]","[['6 cl', 'warninks advocaat liqueur'], ['4.5 cl', 'calvados'], ['1.5 cl', 'schnapps'], ['0.75 cl', 'vanilla sugar syrup']]"
Apple & Elderflower Collins,Collins glass,Lemon slice,SHAKE first 4 ingredients with ice and strain into ice-filled glass. TOP with soda and briefly stir.,"[['4.5 cl', 'Rutte Dry Gin'], ['3 cl', 'St-Germain elderflower liqueur'], ['3 cl', 'Apple Schnapps liqueur'], ['3 cl', 'Lime juice (freshly squeezed)'], ['Top up with', 'Thomas Henry Soda Water']]","[['4.5 cl', 'gin'], ['3 cl', 'st-germain elderflower liqueur'], ['3 cl', 'schnapps'], ['3 cl', 'lime juice'], ['Top up with', 'soda water']]"
Apple & Melon Cocktail,Martini glass,Apple wedge,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Ketel One Vodka'], ['3 cl', 'Sour apple liqueur'], ['1.5 cl', 'Green melon liqueur'], ['1.5 cl', 'Lime juice (freshly squeezed)']]","[['6 cl', 'vodka'], ['3 cl', 'sour apple liqueur'], ['1.5 cl', 'green melon liqueur'], ['1.5 cl', 'lime juice']]"
Apple & Spice,Shot glass,Dust with cinnamon powder,Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the following order.,"[['2.25 cl', 'Avallen Calvados'], ['2.25 cl', 'Single cream / half-and-half']]","[['2.25 cl', 'calvados'], ['2.25 cl', 'single cream / half-and-half']]"
Apple Brandy Sour,Old-fashioned glass,Lemon slice & Luxardo Maraschino cherry on stick (sail),SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and strain into ice-filled glass.,"[['6 cl', 'Avallen Calvados'], ['3 cl', 'Lemon juice (freshly squeezed)'], ['2.25 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['3 dash', 'Angostura Aromatic Bitters'], ['1.5 cl', 'Pasteurised egg white']]","[['6 cl', 'calvados'], ['3 cl', 'lemon juice'], ['2.25 cl', 'sugar syrup'], ['3 dash', 'angostura'], ['1.5 cl', 'egg white']]"
Apple Breeze,Collins glass,Apple wedge,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['6 cl', 'Bison grass vodka'], ['7.5 cl', 'Apple juice'], ['4.5 cl', 'Cranberry juice (sweetened)']]","[['6 cl', 'vodka'], ['7.5 cl', 'apple juice'], ['4.5 cl', 'cranberry juice']]"
Apple Buck,Collins glass,Apple wedge,SHAKE first four ingredients with ice and strain into ice-filled glass. TOP with ginger ale.,"[['4.5 cl', 'Avallen Calvados'], ['1.5 cl', 'Sour apple liqueur'], ['3 cl', 'Apple juice'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['Top up with', 'Thomas Henry Ginger Ale']]","[['4.5 cl', 'calvados'], ['1.5 cl', 'sour apple liqueur'], ['3 cl', 'apple juice'], ['1.5 cl', 'lime juice'], ['Top up with', 'gin']]"
Apple Cart,Coupe glass,Optional sugar rim with apple wedge on rim or float dehydrated apple slice,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Avallen Calvados'], ['3 cl', 'De Kuyper Triple Sec (40%)'], ['2 cl', 'Lemon juice (freshly squeezed)'], ['1 cl', 'Apple Schnapps liqueur (optional)'], ['1 cl', 'Chilled water (omit if using wet ice)']]","[['4.5 cl', 'calvados'], ['3 cl', 'triple sec'], ['2 cl', 'lemon juice'], ['1 cl', 'schnapps'], ['1 cl', 'chilled water']]"
Apple Crumble Cocktail #1,Martini glass,Apple wedge,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', ""Dewar's 12 Year Old Scotch whisky""], ['0.75 cl', 'Butterscotch liqueur'], ['3 cl', 'Apple juice'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","[['6 cl', 'scotch whisky'], ['0.75 cl', 'butterscotch liqueur'], ['3 cl', 'apple juice'], ['1.5 cl', 'lemon juice'], ['0.75 cl', 'sugar syrup']]"
Apple Crumble Cocktail #2,Martini glass,Dust with cinnamon powder,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Tuaca liqueur'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['6 cl', 'Apple juice']]","[['6 cl', 'tuaca liqueur'], ['1.5 cl', 'lemon juice'], ['6 cl', 'apple juice']]"
Apple Daiquiri,Martini glass,Apple wedge,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Bacardi Carta Blanca light rum'], ['4.5 cl', 'Apple juice'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","[['6 cl', 'white rum'], ['4.5 cl', 'apple juice'], ['1.5 cl', 'lime juice'], ['0.75 cl', 'sugar syrup']]"
Apple Mac,Martini glass,Apple slice,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', ""Dewar's 12 Year Old Scotch whisky""], ['4.5 cl', 'Apple juice'], ['1.5 cl', ""Stone's Original Green Ginger Wine""]]","[['6 cl', 'scotch whisky'], ['4.5 cl', 'apple juice'], ['1.5 cl', 'gin']]"
Apple Manhattan,Martini glass,"Apple wedge, apple fan or dehydrated apple slice",STIR all ingredients with ice and strain into chilled glass.,"[['5 cl', 'Bourbon whiskey'], ['3.5 cl', 'Apple Schnapps liqueur'], ['1.25 cl', 'Martini Rosso sweet vermouth']]","[['5 cl', 'bourbon whiskey'], ['3.5 cl', 'schnapps'], ['1.25 cl', 'red vermouth']]"
Apple Martini (simple),Martini glass,Luxardo Maraschino cherry,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Ketel One Vodka'], ['5.25 cl', 'Apple juice'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","[['6 cl', 'vodka'], ['5.25 cl', 'apple juice'], ['0.75 cl', 'sugar syrup']]"
Apple Martini (IBA spec),Martini glass,Apple slice,STIR all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Ketel One Vodka'], ['2.25 cl', 'Apple Schnapps liqueur'], ['2.25 cl', 'De Kuyper Triple Sec (40%)']]","[['6 cl', 'vodka'], ['2.25 cl', 'schnapps'], ['2.25 cl', 'triple sec']]"
Apple Mojito,Collins glass,Mint sprig,"Lightly MUDDLE (just to bruise) mint in base of glass. Add other ingredients, half fill glass with crushed ice and CHURN (stir) with bar spoon. Fill glass to brim with more crushed ice and CHURN some more. Serve with straws.","[['12 fresh', 'Mint leaves'], ['6 cl', 'Bacardi Carta Blanca light rum'], ['3 cl', 'Apple Schnapps liqueur'], ['3 cl', 'Lime juice (freshly squeezed)']]","[['12 fresh', 'mint leaves'], ['6 cl', 'white rum'], ['3 cl', 'schnapps'], ['3 cl', 'lime juice']]"
Apple Of One's Eye,Collins glass,Apple wedge,SHAKE first three ingredients with ice and strain into ice-filled glass. TOP with ginger beer.,"[['6 cl', 'Rémy Martin 1738 Cognac'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['4.5 cl', 'Apple juice'], ['Top up with', 'Thomas Henry Ginger Beer']]","[['6 cl', 'cognac'], ['1.5 cl', 'lime juice'], ['4.5 cl', 'apple juice'], ['Top up with', 'gin']]"
Apple Pie Cocktail,Martini glass,Apple wedge,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Bison grass vodka'], ['1.5 cl', 'Cinnamon schnapps & Goldwasser liqueurs'], ['6 cl', 'Apple juice'], ['3 cl', 'Cranberry juice (sweetened)']]","[['4.5 cl', 'vodka'], ['1.5 cl', 'cinnamon schnapps & goldwasser liqueurs'], ['6 cl', 'apple juice'], ['3 cl', 'cranberry juice']]"
Apple Pie Shot,Shot glass,Dust with cinnamon powder,SHAKE first 2 ingredients with ice and strain into chilled glass. FLOAT cream on drink by carefully pouring over the back of a spoon.,"[['3 cl', 'Apple Schnapps liqueur'], ['1.5 cl', 'Hazelnut liqueur'], ['0.75 cl', 'Single cream / half-and-half']]","[['3 cl', 'schnapps'], ['1.5 cl', 'hazelnut liqueur'], ['0.75 cl', 'single cream / half-and-half']]"
Appleissimo,Collins glass,Apple slice,SHAKE first 3 ingredients with ice and strain into ice-filled glass. TOP with anis and serve with straws.,"[['4.5 cl', 'Apple Schnapps liqueur'], ['6 cl', 'Apple juice'], ['4.5 cl', 'Cranberry juice (sweetened)'], ['4.5 cl', 'Pernod anise']]","[['4.5 cl', 'schnapps'], ['6 cl', 'apple juice'], ['4.5 cl', 'cranberry juice'], ['4.5 cl', 'pernod anise']]"
Apple Spritz,Flute glass,Peach slice,POUR first 2 ingredients into glass then TOP with champagne.,"[['2.25 cl', 'Apple Schnapps liqueur'], ['0.75 cl', 'Peachtree peach schnapps'], ['Top up with', 'Brut Champagne']]","[['2.25 cl', 'schnapps'], ['0.75 cl', 'peachtree peach schnapps'], ['Top up with', 'brut champagne']]"
Apple Strudel (by Alex Kammerling),Martini glass,Dust with cinnamon powder,SHAKE first 5 ingredients with ice and fine strain into chilled glass. Carefully FLOAT cream by pouring over the back of a spoon.,"[['3 cl', 'Apple Schnapps liqueur'], ['1.5 cl', 'De Kuyper Brown Crème de Cacao'], ['1.5 cl', 'Dutch Cacao white crème de cacao'], ['1.5 cl', 'Cinnamon schnapps & Goldwasser liqueurs'], ['3 cl', 'Apple juice'], ['2.25 cl', 'Single cream / half-and-half']]","[['3 cl', 'schnapps'], ['1.5 cl', 'de kuyper brown crème de cacao'], ['1.5 cl', 'dutch cacao white crème de cacao'], ['1.5 cl', 'cinnamon schnapps & goldwasser liqueurs'], ['3 cl', 'apple juice'], ['2.25 cl', 'single cream / half-and-half']]"
Apple Strudel,Coupe glass,Cinnamon & sugar rim,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Ketel One Vodka'], ['1.5 cl', ""Dewar's 12 Year Old Scotch whisky""], ['1.5 cl', 'Apple Schnapps liqueur'], ['1.5 cl', 'Martini Extra Dry vermouth'], ['1.5 cl', 'Apple juice'], ['0.5 cl', 'Cinnamon sugar syrup']]","[['4.5 cl', 'vodka'], ['1.5 cl', 'scotch whisky'], ['1.5 cl', 'schnapps'], ['1.5 cl', 'dry vermouth'], ['1.5 cl', 'apple juice'], ['0.5 cl', 'cinnamon sugar syrup']]"
Apple Sunrise,Collins glass,Apple slice,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['6 cl', 'Avallen Calvados'], ['10.5 cl', 'Orange juice (freshly squeezed)'], ['1.5 cl', 'Giffard Noir de Bourgogne Cassis']]","[['6 cl', 'calvados'], ['10.5 cl', 'orange juice'], ['1.5 cl', 'giffard noir de bourgogne cassis']]"
Temperance Apple Mojito (Non-alcoholic),Collins glass,Mint sprig,"PLACE mint, lemon, lime and sugar in glass. Half fill glass with crushed ice and CHURN (stir). Add more crushed ice to fill glass. Add apple juice, top with soda and CHURN some more. Serve with straws.","[['12 fresh', 'Mint leaves'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['2.25 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['9 cl', 'Apple juice'], ['Top up with', 'Thomas Henry Soda Water']]","[['12 fresh', 'mint leaves'], ['1.5 cl', 'lemon juice'], ['1.5 cl', 'lime juice'], ['2.25 cl', 'sugar syrup'], ['9 cl', 'apple juice'], ['Top up with', 'soda water']]"
Applesinth,Old-fashioned glass,Apple wedge,SHAKE all ingredients with ice and strain into glass filled with crushed ice.,"[['3 cl', 'La Fée Parisienne absinthe'], ['3 cl', 'Apple Schnapps liqueur'], ['6 cl', 'Apple juice'], ['2.25 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","[['3 cl', 'absinthe'], ['3 cl', 'schnapps'], ['6 cl', 'apple juice'], ['2.25 cl', 'lime juice'], ['1.5 cl', 'sugar syrup']]"
Apples 'N' Pears,Coupe glass,Apple or pear slice,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['2.5 cl', 'Avallen Calvados'], ['2 cl', 'Ketel One Vodka'], ['1.5 cl', 'Pear & cognac liqueur'], ['3 cl', 'Apple juice']]","[['2.5 cl', 'calvados'], ['2 cl', 'vodka'], ['1.5 cl', 'cognac'], ['3 cl', 'apple juice']]"
Appily Married,Coupe glass,Cinnamon & sugar rim,SHAKE all ingredients with ice and fine strain into chilled pre-prepared glass.,"[['5 cl', 'Ketel One Vodka'], ['1.5 cl', 'Apple juice'], ['1.5 cl', 'Grapefruit juice (pink)'], ['1 cl', 'Honey syrup (3 honey to 1 water)']]","[['5 cl', 'vodka'], ['1.5 cl', 'apple juice'], ['1.5 cl', 'grapefruit juice'], ['1 cl', 'honey syrup']]"
Apricot Cosmo,Martini glass,Apricot slice,"STIR apricot preserve with vodka until preserve dissolves. Add other ingredients, SHAKE with ice and fine strain into chilled glass.","[['6 cl', 'Ketel One Vodka'], ['1 spoon', 'Apricot jam (preserve)'], ['3 cl', 'Cranberry juice (sweetened)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['2 dash', 'Orange Bitters by Angostura']]","[['6 cl', 'vodka'], ['1 spoon', 'apricot jam'], ['3 cl', 'cranberry juice'], ['0.75 cl', 'sugar syrup'], ['1.5 cl', 'lime juice'], ['2 dash', 'angostura']]"
Apricot Fizz,Collins glass,Lemon wedge,SHAKE first three ingredients with ice and strain into ice-filled glass. TOP with soda water.,"[['6 cl', 'De Kuyper Apricot Brandy liqueur'], ['3 cl', 'Orange juice (freshly squeezed)'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['Top up with', 'Soda from siphon']]","[['6 cl', 'apricot brandy liqueur'], ['3 cl', 'orange juice'], ['1.5 cl', 'lime juice'], ['Top up with', 'soda from siphon']]"
Apricot Lady Sour,Old-fashioned glass,Lemon slice & Luxardo Maraschino cherry on stick (sail),SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) to emulsify and fine strain into chilled glass.,"[['4.5 cl', 'Bacardi Carta Blanca light rum'], ['3 cl', 'De Kuyper Apricot Brandy liqueur'], ['3 cl', 'Lemon juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1.5 cl', 'Pasteurised egg white']]","[['4.5 cl', 'white rum'], ['3 cl', 'apricot brandy liqueur'], ['3 cl', 'lemon juice'], ['0.75 cl', 'sugar syrup'], ['1.5 cl', 'egg white']]"
Apricot Mango Cocktail,Martini glass,Mango slice,SHAKE all ingredients with ice and fine strain into glass.,"[['4.5 cl', 'Rutte Dry Gin'], ['2.25 cl', 'De Kuyper Apricot Brandy liqueur'], ['2.25 cl', 'Mango purée'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['2 dash', 'Orange Bitters by Angostura']]","[['4.5 cl', 'gin'], ['2.25 cl', 'apricot brandy liqueur'], ['2.25 cl', 'mango purée'], ['1.5 cl', 'lemon juice'], ['1.5 cl', 'sugar syrup'], ['2 dash', 'angostura']]"
Apricot Martini,Martini glass,Lemon zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Rutte Dry Gin'], ['3 cl', 'De Kuyper Apricot Brandy liqueur'], ['0.5 cl', 'Giffard Grenadine syrup'], ['0.75 cl', 'Lemon juice (freshly squeezed)'], ['3 dash', 'Angostura Aromatic Bitters'], ['2.25 cl', 'Chilled water (omit if using wet ice)']]","[['4.5 cl', 'gin'], ['3 cl', 'apricot brandy liqueur'], ['0.5 cl', 'giffard grenadine syrup'], ['0.75 cl', 'lemon juice'], ['3 dash', 'angostura'], ['2.25 cl', 'chilled water']]"
April Shower,Coupe glass,Orange zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Rémy Martin 1738 Cognac'], ['1.5 cl', 'Bénédictine D.O.M.'], ['3 cl', 'Orange juice (freshly squeezed)']]","[['4.5 cl', 'cognac'], ['1.5 cl', 'bénédictine d.o.m.'], ['3 cl', 'orange juice']]"
Apricot Sour,Old-fashioned glass,Lemon zest twist,"STIR apricot jam (preserve) with bourbon until it dissolves. Add other ingredients, SHAKE with ice and fine strain into ice-filled glass.","[['2 spoon', 'Apricot jam (preserve)'], ['4.5 cl', 'Bourbon whiskey'], ['1.5 cl', 'De Kuyper Apricot Brandy liqueur'], ['3 cl', 'Apple juice'], ['1.5 cl', 'Lemon juice (freshly squeezed)']]","[['2 spoon', 'apricot jam'], ['4.5 cl', 'bourbon whiskey'], ['1.5 cl', 'apricot brandy liqueur'], ['3 cl', 'apple juice'], ['1.5 cl', 'lemon juice']]"
Aquarius,Old-fashioned glass,Lemon slice & Luxardo Maraschino cherry on stick (sail),SHAKE all ingredients with ice and strain into ice-filled glass.,"[['6 cl', ""Dewar's 12 Year Old Scotch whisky""], ['3 cl', 'Cherry Heering cherry brandy liqueur'], ['4.5 cl', 'Cranberry juice (sweetened)']]","[['6 cl', 'scotch whisky'], ['3 cl', 'cherry brandy liqueur'], ['4.5 cl', 'cranberry juice']]"
Arizona Breeze,Collins glass,Grapefruit wedge,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['6 cl', 'Rutte Dry Gin'], ['7.5 cl', 'Cranberry juice (sweetened)'], ['4.5 cl', 'Grapefruit juice (pink)']]","[['6 cl', 'gin'], ['7.5 cl', 'cranberry juice'], ['4.5 cl', 'grapefruit juice']]"
Arnaud (Parisian Nights),Coupe glass,Blackberries,STIR all ingredients with ice and strain into chilled glass.,"[['3 cl', 'Rutte Dry Gin'], ['3 cl', 'Martini Extra Dry vermouth'], ['3 cl', 'Giffard Noir de Bourgogne Cassis']]","[['3 cl', 'gin'], ['3 cl', 'dry vermouth'], ['3 cl', 'giffard noir de bourgogne cassis']]"
Artlantic,Collins glass,Orange wedge,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['3 cl', 'Spiced rum'], ['1.5 cl', 'Disaronno amaretto'], ['1.5 cl', 'De Kuyper Blue Curaçao'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['9 cl', 'Apple juice']]","[['3 cl', 'spiced rum'], ['1.5 cl', 'amaretto'], ['1.5 cl', 'de kuyper blue curaçao'], ['1.5 cl', 'lime juice'], ['9 cl', 'apple juice']]"
Asian Ginger Cocktail,Martini glass,Fresh ginger slice,"MUDDLE ginger in base of shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.","[['2 slice', 'Root ginger (thumbnail-sized slice)'], ['6.75 cl', 'Sake'], ['4.5 cl', 'Ketel One Vodka'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","[['2 slice', 'gin'], ['6.75 cl', 'sake'], ['4.5 cl', 'vodka'], ['0.75 cl', 'sugar syrup']]"
Asian Mary,Collins glass,Lemongrass,"MUDDLE ginger in base of shaker and add vodka. Squeeze wasabi paste onto bar spoon and STIR with vodka and ginger until dissolved. Add other ingredients, SHAKE with ice and fine strain into ice-filled glass.","[['3 slice', 'Root ginger (thumbnail-sized slice)'], ['3 pea', 'Wasabi paste'], ['9 cl', 'Ketel One Citroen Vodka'], ['1 spoon', 'Soy sauce'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['12 cl', 'Tomato juice']]","[['3 slice', 'gin'], ['3 pea', 'wasabi paste'], ['9 cl', 'vodka'], ['1 spoon', 'soy sauce'], ['1.5 cl', 'lemon juice'], ['12 cl', 'tomato juice']]"
